ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands
106,"simple, virtual",ito-asset-apcalculuscarousel-webp,,APCalculusCarousel,-1,0,visible,"Legacy course/media asset product generated from existing website library.","Legacy course/media asset product generated from existing website library.",,,taxable,,1,,,0,0,,,,,1,,750,1000,"Legacy Assets",,,"https://indiatutorsonline.com/wp-content/uploads/2026/04/APCalculusCarousel.webp, https://indiatutorsonline.com/wp-content/uploads/2026/04/CarouselImage1.webp, https://indiatutorsonline.com/wp-content/uploads/2026/04/CarouselImage2.webp, https://indiatutorsonline.com/wp-content/uploads/2026/04/CarouselImage3-32-scaled.webp",,,,,,,,,0,
109,"simple, virtual",ito-asset-apphysicscarousel-webp,,APPhysicsCarousel,-1,0,visible,"Legacy course/media asset product generated from existing website library.","Legacy course/media asset product generated from existing website library.",,,taxable,,1,,,0,0,,,,,1,,750,1000,"Legacy Assets",,,"https://indiatutorsonline.com/wp-content/uploads/2026/04/APPhysicsCarousel.webp, https://indiatutorsonline.com/wp-content/uploads/2026/04/CarouselImage1.webp, https://indiatutorsonline.com/wp-content/uploads/2026/04/CarouselImage2.webp, https://indiatutorsonline.com/wp-content/uploads/2026/04/CarouselImage3-33-scaled.webp",,,,,,,,,0,
112,"simple, virtual",ito-asset-aboutusimage1-webp,,AboutUsImage1,-1,0,visible,"Legacy course/media asset product generated from existing website library.","Legacy course/media asset product generated from existing website library.",,,taxable,,1,,,0,0,,,,,1,,750,1000,"Legacy Assets",,,"https://indiatutorsonline.com/wp-content/uploads/2026/04/AboutUsImage1.webp, https://indiatutorsonline.com/wp-content/uploads/2026/04/CarouselImage1.webp, https://indiatutorsonline.com/wp-content/uploads/2026/04/CarouselImage2.webp, https://indiatutorsonline.com/wp-content/uploads/2026/04/CarouselImage3-34-scaled.webp",,,,,,,,,0,
115,"simple, virtual",ito-asset-aboutusimage2-webp,,AboutUsImage2,-1,0,visible,"Legacy course/media asset product generated from existing website library.","Legacy course/media asset product generated from existing website library.",,,taxable,,1,,,0,0,,,,,1,,750,1000,"Legacy Assets",,,"https://indiatutorsonline.com/wp-content/uploads/2026/04/AboutUsImage2.webp, https://indiatutorsonline.com/wp-content/uploads/2026/04/CarouselImage1.webp, https://indiatutorsonline.com/wp-content/uploads/2026/04/CarouselImage2.webp, https://indiatutorsonline.com/wp-content/uploads/2026/04/CarouselImage3-35-scaled.webp",,,,,,,,,0,
118,"simple, virtual",ito-asset-algebra2carousel-webp,,Algebra2Carousel,-1,0,visible,"Legacy course/media asset product generated from existing website library.","Legacy course/media asset product generated from existing website library.",,,taxable,,1,,,0,0,,,,,1,,750,1000,"Legacy Assets",,,"https://indiatutorsonline.com/wp-content/uploads/2026/04/Algebra2Carousel.webp, https://indiatutorsonline.com/wp-content/uploads/2026/04/CarouselImage1.webp, https://indiatutorsonline.com/wp-content/uploads/2026/04/CarouselImage2.webp, https://indiatutorsonline.com/wp-content/uploads/2026/04/CarouselImage3-36-scaled.webp",,,,,,,,,0,
130,"simple, virtual",ito-asset-javacarouselcover-webp,,JavaCarouselCover,-1,0,visible,"Legacy course/media asset product generated from existing website library.","Legacy course/media asset product generated from existing website library.",,,taxable,,1,,,0,0,,,,,1,,750,1000,"Legacy Assets",,,"https://indiatutorsonline.com/wp-content/uploads/2026/04/JavaCarouselCover.webp, https://indiatutorsonline.com/wp-content/uploads/2026/04/CarouselImage1.webp, https://indiatutorsonline.com/wp-content/uploads/2026/04/CarouselImage2.webp, https://indiatutorsonline.com/wp-content/uploads/2026/04/CarouselImage3-41-scaled.webp",,,,,,,,,0,
133,"simple, virtual",ito-asset-satenglishthumbnail-webp,,SATEnglishThumbnail,-1,0,visible,"Legacy course/media asset product generated from existing website library.","Legacy course/media asset product generated from existing website library.",,,taxable,,1,,,0,0,,,,,1,,750,1000,"Legacy Assets",,,,,,,,,,,,0,
178,"simple, virtual",ito-asset-scratchcarouselcover-webp,,ScratchCarouselCover,-1,0,visible,"Legacy course/media asset product generated from existing website library.","Legacy course/media asset product generated from existing website library.",,,taxable,,1,,,0,0,,,,,1,,750,1000,"Legacy Assets",,,"https://indiatutorsonline.com/wp-content/uploads/2026/04/ScratchCarouselCover.webp, https://indiatutorsonline.com/wp-content/uploads/2026/04/CarouselImage1.webp, https://indiatutorsonline.com/wp-content/uploads/2026/04/CarouselImage2.webp, https://indiatutorsonline.com/wp-content/uploads/2026/04/CarouselImage3-43-scaled.webp",,,,,,,,,0,
341,"simple, virtual",,,"Customized Online Guitar Lessons for Kids — Basics to Mastery",1,0,visible,"Live guitar classes with expert mentors. Flexible timing, pay as you go, first demo class free.","Personalised online guitar coaching designed for young learners. Every class is one-on-one, paced to your child, and built around songs they love — so motivation stays high while technique builds steadily from the very first note.",,,taxable,,1,,,0,1,,,,,1,,750,1500,"Guitar, Music",,,,,,,,,,,,0,
342,"simple, virtual",,,"Online Piano &amp; Keyboard Classes for Kids and Beginners",1,0,visible,"Structured 1:1 piano lessons with certified mentors. Learn at your pace, recital-ready.","A complete piano journey from first finger placement to confident two-hand playing. Lessons blend technique, theory and the pieces your child wants to play.",,,taxable,,1,,,0,1,,,,,1,,800,1600,"Music, Piano",,,,,,,,,,,,0,
343,"simple, virtual",,,"Python Programming for Kids — Code Your First Projects",1,0,visible,"Project-based live Python classes. Build games and apps from day one.","A hands-on introduction to real programming. Learners write actual Python, debug their own code, and finish each level with a project they can show off.",,,taxable,,1,,,0,1,,,,,1,,900,1800,"Coding, Python",,,https://indiatutorsonline.com/wp-content/uploads/2026/05/Python-1.jpg,,,,,,,,,0,
344,"simple, virtual",,,"Spoken English &amp; Confident Communication",1,0,visible,"Live conversational English with personalised feedback. Speak fluently, fearlessly.","Move beyond grammar drills to real conversation. Every session is interactive, with structured feedback that targets fluency, pronunciation and confidence.",,,taxable,,1,,,0,1,,,,,1,,650,1300,"Languages, Spoken English",,,,,,,,,,,,0,
349,"simple, virtual",,,Piano,1,0,visible,"Live 1:1 and group Piano classes with expert mentors. Flexible scheduling, first demo free.","<p>1. Convenience: You can attend classes from the comfort of your own home or any location with internet access. This eliminates the need for commuting, saving you time and money.</p><p>2. Flexibility: Online classes often offer flexible scheduling options, allowing you to choose the time that works best for you. This flexibility is especially beneficial for those with busy schedules or irregular working hours.</p><p>3. Access to Quality Instructors: Online platforms often have a wide selection of qualified instructors from around the world. This means you can find a teacher whose teaching style and expertise align with your learning goals.</p><p>4. Cost-effectiveness: Online classes can be more affordable than in-person lessons since they eliminate overhead costs associated with maintaining a physical location. Additionally, you can often find a variety of pricing options to suit your budget.</p><p>5. Variety of Resources: Online piano classes often come with a variety of supplementary resources such as video tutorials, practice exercises, and interactive learning tools, enhancing the overall learning experience.</p><p>6.Online Certifications: Opt for online examinations through various esteemed institutions and get certified for your skills.</p><p>At IndiaTutorsOnline, we believe that everyone has the potential to unlock their musical talents and start their journey of self-expression. IndiaTutorsOnline provides high-quality, accessible, and engaging online music classes for learners of all ages and skill levels.</p><p>We strive to break down barriers to learning and empower individuals from diverse backgrounds to pursue their passion for music, regardless of their geographical location, financial means, or previous experience.</p>",,,taxable,,1,,,0,1,,,,,1,,,600,"Musical Instruments, Piano",,,https://indiatutorsonline.com/wp-content/uploads/2026/05/Piano-1.jpg,,,,,,,,,0,
351,"simple, virtual",,,Guitar,1,0,visible,"Live 1:1 and group Guitar classes with expert mentors. Flexible scheduling, first demo free.","<p>At IndiaTutorsOnline, we believe in the limitless potential within everyone to discover and develop their musical talents. We are dedicated to providing high-quality, accessible, and engaging online music classes that cater to learners of all ages and skill levels.</p><p>Our mission is to eliminate barriers to music education, empowering individuals from all walks of life to pursue their passion for music, no matter their location, financial situation, or prior experience.</p><p>Whether your dream is to master the piano, rock out on the guitar, or compose your own symphonies, IndiaTutorsOnline is here to help you bring your musical aspirations to life. Join us today and experience the joy of making music with IndiaTutorsOnline—where your journey to excellence begins.</p>",,,taxable,,1,,,0,1,,,,,1,,,600,"Guitar, Musical Instruments",,,https://indiatutorsonline.com/wp-content/uploads/2026/05/Guitar.jpg,,,,,,,,,0,
360,"simple, virtual",,,Ukulele,1,0,visible,"Live 1:1 and group Ukulele classes with expert mentors. Flexible scheduling, first demo free.","<p>Accessible Across USA, UK, Europe, Australia, Singapore, Dubai, and More</p><p>Certificates of Completion / Participation Available</p><p>This program develops coordination, rhythm, listening skills, and musical creativity, while building confidence through performance and a love for music.</p><p>👉 Soprano Ukulele is strongly recommended for beginners</p><p>🎵 About Ukulele vs Guitar (Short Understanding)</p><p>The ukulele is a small, four-stringed instrument originally from Hawaii, traditionally strung with nylon strings and tuned G-C-E-A.</p><p>The guitar is a larger six-stringed instrument available in acoustic, classical, and electric variants, with a wider range of tones.</p><p>The ukulele offers a lighter, cheerful tone and is generally easier for young beginners, while the guitar provides a broader tonal range and greater repertoire depth.</p>",,,taxable,,1,,,0,1,,,,,1,,,600,"Musical Instruments, Musical Instruments > Ukulele",,,https://indiatutorsonline.com/wp-content/uploads/2026/05/Ukulele.jpg,,,,,,,,,0,
362,"simple, virtual",,,Keyboard,1,0,visible,"Live 1:1 and group Keyboard classes with expert mentors. Flexible scheduling, first demo free.","<p>1. Convenience: You can attend classes from the comfort of your own home or any location with internet access. This eliminates the need for commuting, saving you time and money.</p><p>2. Flexibility: Online classes often offer flexible scheduling options, allowing you to choose the time that works best for you. This flexibility is especially beneficial for those with busy schedules or irregular working hours.</p><p>3. Access to Quality Instructors: Online platforms often have a wide selection of qualified instructors from around the world. This means you can find a teacher whose teaching style and expertise align with your learning goals.</p><p>4. Cost-effectiveness: Online classes can be more affordable than in-person lessons since they eliminate overhead costs associated with maintaining a physical location. Additionally, you can often find a variety of pricing options to suit your budget.</p><p>5. Variety of Resources: Online keyboard classes often come with a variety of supplementary resources such as video tutorials, practice exercises, and interactive learning tools, enhancing the overall learning experience.</p><p>6.Online Certifications: Opt for online examinations through various esteemed institutions and get certified for your skills.</p><p>At IndiaTutorsOnline, we believe that everyone has the potential to unlock their musical talents and start their journey of self-expression. IndiaTutorsOnline provides high-quality, accessible, and engaging online music classes for learners of all ages and skill levels.</p><p>We strive to break down barriers to learning and empower individuals from diverse backgrounds to pursue their passion for music, regardless of their geographical location, financial means, or previous experience.</p>",,,taxable,,1,,,0,1,,,,,1,,,600,"Musical Instruments > Keyboard, Musical Instruments",,,https://indiatutorsonline.com/wp-content/uploads/2026/05/Keyboard.jpg,,,,,,,,,0,
363,"simple, virtual",,,Drums,1,0,visible,"Live 1:1 and group Drums classes with expert mentors. Flexible scheduling, first demo free.",,,,taxable,,1,,,0,1,,,,,1,,,600,"Musical Instruments > Drums, Musical Instruments",,,,,,,,,,,,0,
372,"simple, virtual",,,Violin,1,0,visible,"Live 1:1 and group Violin classes with expert mentors. Flexible scheduling, first demo free.",,,,taxable,,1,,,0,1,,,,,1,,,1000,"Musical Instruments, Musical Instruments > Violin",,,https://indiatutorsonline.com/wp-content/uploads/2026/05/Violin.jpg,,,,,,,,,0,
374,"simple, virtual",,,Veena,1,0,visible,"Live 1:1 and group Veena classes with expert mentors. Flexible scheduling, first demo free.",,,,taxable,,1,,,0,1,,,,,1,,,600,"Musical Instruments, Musical Instruments > Veena",,,https://indiatutorsonline.com/wp-content/uploads/2026/05/Veena.jpg,,,,,,,,,0,
375,"simple, virtual",,,Cello,1,0,visible,"Live 1:1 and group Cello classes with expert mentors. Flexible scheduling, first demo free.",,,,taxable,,1,,,0,1,,,,,1,,,1500,"Musical Instruments > Cello, Musical Instruments",,,https://indiatutorsonline.com/wp-content/uploads/2026/05/Cello.jpg,,,,,,,,,0,
383,"simple, virtual",,,Viola,1,0,visible,"Live 1:1 and group Viola classes with expert mentors. Flexible scheduling, first demo free.",,,,taxable,,1,,,0,1,,,,,1,,,1000,"Musical Instruments, Musical Instruments > Viola",,,https://indiatutorsonline.com/wp-content/uploads/2026/05/AI-Prompting-1.jpg,,,,,,,,,0,
386,"simple, virtual",,,Clarinet,1,0,visible,"Live 1:1 and group Clarinet classes with expert mentors. Flexible scheduling, first demo free.","<p>• Learn from home with proper posture and embouchure guidance• Flexible scheduling for students• Access to trained clarinet instructors• Focus on tone production, breath control, and articulation• Preparation for internationally recognized certifications</p><p>For Parents:This program develops breath control, discipline, coordination, listening skills, and musical expression, while building confidence through performance.</p><p>• Standard clarinet used by beginners and professionals• Balanced, warm tone• Widely used in classical, jazz, and band music• Recommended for most students</p><p>• Slightly longer than Bb clarinet• Warmer, darker tone• Common in orchestral repertoire• Used in advanced classical performance</p><p>• Larger instrument with deeper pitch• Rich, resonant sound• Used in orchestras, bands, and modern compositions• Requires more air support</p><p>• Smaller and higher-pitched• Bright, sharp tone• Used in orchestras and wind ensembles• More advanced and less common for beginners</p><p>👉 Bb Clarinet is strongly recommended for beginners</p><p>• Standard learning instrument• Easier fingering system• Comfortable size and handling• Used in ABRSM / Trinity exams</p>",,,taxable,,1,,,0,1,,,,,1,,,1500,"Musical Instruments > Clarinet, Musical Instruments",,,https://indiatutorsonline.com/wp-content/uploads/2026/05/clarinet.png,,,,,,,,,0,
387,"simple, virtual",,,Tabla,1,0,visible,"Live 1:1 and group Tabla classes with expert mentors. Flexible scheduling, first demo free.","<p>• Interactive and engaging live classes• 1:1 and group sessions available• Accessible globally (India, USA, UK, Europe, etc.)• Flexible scheduling• No contracts or hidden fees• Free demo class• Suitable for kids aged 6+• Focus on Hindustani classical rhythm system• Performance-based learning approach• Certificates of completion available</p><p>• Learn from home with proper hand technique and posture guidance• Flexible scheduling for students• Access to trained Indian classical tabla instructors• Focus on Bol, Taal, Layakari, and rhythmic clarity• Develop timing, coordination, and musical understanding</p><p>This program develops rhythm sense, coordination, discipline, concentration, and mathematical thinking, while enhancing creativity and confidence through structured rhythmic training and performance.</p><p>(Keep same as your file — no change needed)</p><p>The Tabla is the primary percussion instrument in Hindustani classical music, consisting of:</p><p>• Dayan (right drum) – tuned, melodic• Bayan (left drum) – bass, modulation</p><p>It is used in:• Classical music• Semi-classical (Bhajan, Ghazal)• Film &amp; fusion music</p><p>• Hindustani Classical Tradition (Guru-Shishya Parampara)• Institutional frameworks (Prayag Sangeet Samiti / Gandharva Mahavidyalaya)</p>",,,taxable,,1,,,0,1,,,,,1,,,600,"Musical Instruments, Musical Instruments > Tabla",,,https://indiatutorsonline.com/wp-content/uploads/2026/05/Tabla-1.jpg,,,,,,,,,0,
396,"simple, virtual",,,"Indian Flute",1,0,visible,"Live 1:1 and group Indian Flute classes with expert mentors. Flexible scheduling, first demo free.","<p>For Parents:This program develops breath control, focus, discipline, and musical sensitivity, while improving cognitive coordination and listening skills.</p><p>What is the difference between Indian Bansuri Flute and Western Concert Flute?</p><p>The Bansuri is a bamboo flute without keys, used mainly in Indian classical music, focusing on expressive playing and improvisation.The Western Concert Flute is a metal, key-based instrument (Boehm system) used in Western classical, orchestral, and modern music.Bansuri relies on breath control and finger placement, while the Western flute allows faster, more precise note changes using keys.The sound of the Bansuri is warm and earthy, whereas the Western flute is bright and versatile.Bansuri learning is largely oral, while Western flute follows structured notation and exams (ABRSM, Trinity).Choose Bansuri for Indian classical expression, and Western flute for global music and certifications.</p><p>At IndiaTutorsOnline, we believe in the limitless potential within everyone to discover and develop their musical talents. We are dedicated to providing high-quality, accessible, and engaging online music classes that cater to learners of all ages and skill levels.</p><p>Our mission is to eliminate barriers to music education, empowering individuals from all walks of life to pursue their passion for music, no matter their location, financial situation, or prior experience.</p><p>Whether your dream is to master the piano, rock out on the Flute, or compose your own symphonies, IndiaTutorsOnline is here to help you bring your musical aspirations to life. Join us today and experience the joy of making music with IndiaTutorsOnline—where your journey to excellence begins.</p>",,,taxable,,1,,,0,1,,,,,1,,,600,"Musical Instruments > Indian Flute, Musical Instruments",,,,,,,,,,,,0,
397,"simple, virtual",,,"Western Flute",1,0,visible,"Live 1:1 and group Western Flute classes with expert mentors. Flexible scheduling, first demo free.","<p>For Parents:This program develops breath control, focus, discipline, and musical sensitivity, while improving cognitive coordination and listening skills.</p><p>What is the difference between Indian Bansuri Flute and Western Concert Flute?</p><p>The Bansuri is a bamboo flute without keys, used mainly in Indian classical music, focusing on expressive playing and improvisation.The Western Concert Flute is a metal, key-based instrument (Boehm system) used in Western classical, orchestral, and modern music.Bansuri relies on breath control and finger placement, while the Western flute allows faster, more precise note changes using keys.The sound of the Bansuri is warm and earthy, whereas the Western flute is bright and versatile.Bansuri learning is largely oral, while Western flute follows structured notation and exams (ABRSM, Trinity).Choose Bansuri for Indian classical expression, and Western flute for global music and certifications.</p><p>At IndiaTutorsOnline, we believe in the limitless potential within everyone to discover and develop their musical talents. We are dedicated to providing high-quality, accessible, and engaging online music classes that cater to learners of all ages and skill levels.</p><p>Our mission is to eliminate barriers to music education, empowering individuals from all walks of life to pursue their passion for music, no matter their location, financial situation, or prior experience.</p><p>Whether your dream is to master the piano, rock out on the Flute, or compose your own symphonies, IndiaTutorsOnline is here to help you bring your musical aspirations to life. Join us today and experience the joy of making music with IndiaTutorsOnline—where your journey to excellence begins.</p>",,,taxable,,1,,,0,1,,,,,1,,,1000,"Musical Instruments, Musical Instruments > Western Flute",,,https://indiatutorsonline.com/wp-content/uploads/2026/05/Sanskrit-1.webp,,,,,,,,,0,
399,"simple, virtual",,,Saxophone,1,0,visible,"Live 1:1 and group Saxophone classes with expert mentors. Flexible scheduling, first demo free.","<p>For Parents:This program develops breath control, discipline, coordination, listening skills, and musical expression, while building confidence through performance.</p><p>2. Alto Saxophone (Most Recommended for Beginners)</p><p>👉 Alto Saxophone is strongly recommended for beginners</p><p>What is the difference between Indian Bansuri Flute and Western Concert Flute?</p><p>The Bansuri is a bamboo flute without keys, used mainly in Indian classical music, focusing on expressive playing and improvisation.The Western Concert Flute is a metal, key-based instrument (Boehm system) used in Western classical, orchestral, and modern music.Bansuri relies on breath control and finger placement, while the Western flute allows faster, more precise note changes using keys.The sound of the Bansuri is warm and earthy, whereas the Western flute is bright and versatile.Bansuri learning is largely oral, while Western flute follows structured notation and exams (ABRSM, Trinity).Choose Bansuri for Indian classical expression, and Western flute for global music and certifications.</p><p>At IndiaTutorsOnline, we believe in the limitless potential within everyone to discover and develop their musical talents. We are dedicated to providing high-quality, accessible, and engaging online music classes that cater to learners of all ages and skill levels.</p><p>Our mission is to eliminate barriers to music education, empowering individuals from all walks of life to pursue their passion for music, no matter their location, financial situation, or prior experience.</p><p>Whether your dream is to master the piano, rock out on the Saxophone, or compose your own symphonies, IndiaTutorsOnline is here to help you bring your musical aspirations to life. Join us today and experience the joy of making music with IndiaTutorsOnline—where your journey to excellence begins.</p>",,,taxable,,1,,,0,1,,,,,1,,,1000,"Musical Instruments, Musical Instruments > Saxophone",,,https://indiatutorsonline.com/wp-content/uploads/2026/05/Saxophone.jpg,,,,,,,,,0,
407,"simple, virtual",,,"Music Theory",1,0,visible,"Live 1:1 and group Music Theory classes with expert mentors. Flexible scheduling, first demo free.","<p>1. Convenience: You can attend classes from the comfort of your own home or any location with internet access. This eliminates the need for commuting, saving you time and money.</p><p>2. Flexibility: Online classes often offer flexible scheduling options, allowing you to choose the time that works best for you. This flexibility is especially beneficial for those with busy schedules or irregular working hours.</p><p>3. Access to Quality Instructors: Online platforms often have a wide selection of qualified instructors from around the world. This means you can find a teacher whose teaching style and expertise align with your learning goals.</p><p>4. Cost-effectiveness: Online classes can be more affordable than in-person lessons since they eliminate overhead costs associated with maintaining a physical location. Additionally, you can often find a variety of pricing options to suit your budget.</p><p>5. Variety of Resources: Online music theory classes often come with a variety of supplementary resources such as video tutorials, practice exercises, and interactive learning tools, enhancing the overall learning experience.</p><p>6.Online Certifications: Opt for online examinations through various esteemed institutions and get certified for your skills.</p><p>At IndiaTutorsOnline, we believe that everyone has the potential to unlock their musical talents and start their journey of self-expression. IndiaTutorsOnline provides high-quality, accessible, and engaging online music classes for learners of all ages and skill levels.</p><p>We strive to break down barriers to learning and empower individuals from diverse backgrounds to pursue their passion for music, regardless of their geographical location, financial means, or previous experience.</p>",,,taxable,,1,,,0,1,,,,,1,,,600,"Musical Instruments > Music Theory, Musical Instruments",,,https://indiatutorsonline.com/wp-content/uploads/2026/05/music-theory.jpg.jpeg,,,,,,,,,0,
409,"simple, virtual",,,Trumpet,1,0,visible,"Live 1:1 and group Trumpet classes with expert mentors. Flexible scheduling, first demo free.","<p>This program develops breath control, discipline, coordination, listening skills, and musical expression, while building confidence through performance.</p>",,,taxable,,1,,,0,1,,,,,1,,,1500,"Musical Instruments, Musical Instruments > Trumpet",,,https://indiatutorsonline.com/wp-content/uploads/2026/05/Trumpet.jpg,,,,,,,,,0,
412,"simple, virtual",,,Sitar,1,0,visible,"Live 1:1 and group Sitar classes with expert mentors. Flexible scheduling, first demo free.","<p>Indian Classical Sitar Program (Hindustani Tradition)</p><p>Level 1 → Foundation (6–8 months)Level 2 → Raga Development &amp; Technique (6–8 months)Level 3 → Advanced Performance &amp; Mastery (8–12 months)</p><p>• Live online classes (1:1 or group)• Weekly structured sessions• Guided riyaz (practice routines)• Assignment-based progression• Periodic performance reviews• Feedback-driven learning• Optional certification pathway</p><p>This program develops concentration, finger dexterity, disciplined practice, tonal awareness, and cultural appreciation, while enhancing creativity and confidence through structured melodic training and performance.</p><p>(Keep same as your file — no change needed)</p><p>The Sitar is one of the most iconic string instruments in Hindustani classical music, renowned globally for its rich, resonant tone and versatility. The Sitar consists of:</p><p>🎓 Hindustani Classical Tradition (Guru–Shishya Parampara)</p><p>This is the traditional way of learning Indian classical music, where the student learns directly from a Guru (master) through:</p>",,,taxable,,1,,,0,1,,,,,1,,,600,"Musical Instruments, Musical Instruments > Sitar",,,,,,,,,,,,0,
417,"simple, virtual",,,Recorder,1,0,visible,"Live 1:1 and group Recorder classes with expert mentors. Flexible scheduling, first demo free.",,,,taxable,,1,,,0,1,,,,,1,,,600,"Musical Instruments, Musical Instruments > Recorder",,,,,,,,,,,,0,
422,"simple, virtual",,,"Carnatic Violin",1,0,visible,"Live 1:1 and group Carnatic Violin classes with expert mentors. Flexible scheduling, first demo free.",,,,taxable,,1,,,0,1,,,,,1,,,1000,"Musical Instruments > Carnatic Violin, Musical Instruments",,,https://indiatutorsonline.com/wp-content/uploads/2026/05/Carnatic-3.jpg,,,,,,,,,0,
